Termination time of Current method: 2813319 ms
Termination time of new approach: 41421 ms
+-----------------------------------------------------------------------------------------------------------------------------------------+ 
| #  | Type         | Nodes                                                             | Terminating OLD   | Termination NEW   | Time    |
| 166| non_recursive| [TesterImpl.compareDir]                                           | yes               | yes               | -       |
| 167| non_recursive| [TesterImpl.compareFile]                                          | yes               | yes               | -       |
| 168| non_recursive| [cont_10]                                                         | yes               | yes               | -       |
| 169| non_recursive| [dir]                                                             | yes               | yes               | -       |
| 170| non_recursive| [if_10]                                                           | yes               | yes               | -       |
| 171| non_recursive| [if_9]                                                            | yes               | yes               | -       |
| 172| non_recursive| [case_55]                                                         | yes               | yes               | -       |
| 173| non_recursive| [item]                                                            | yes               | yes               | -       |
| 174| non_recursive| [if_8]                                                            | yes               | yes               | -       |
| 175| non_recursive| [case_2]                                                          | yes               | yes               | -       |
| 176| non_recursive| [isLeft]                                                          | yes               | yes               | -       |
| 177| non_recursive| [TesterImpl.checkDataORIGIN_DirDelta]                             | yes               | yes               | -       |
| 178| non_recursive| [and_op]                                                          | yes               | yes               | -       |
| 179| non_recursive| [cont_3]                                                          | yes               | yes               | -       |
| 180| non_recursive| [cont_4]                                                          | yes               | yes               | -       |
| 181| non_recursive| [cont_5]                                                          | yes               | yes               | -       |
| 182| recursive    | [case_37,case_38,isPrefix]                                        | yes               | yes               | -       |
| 183| recursive    | [case_39,stringToChar]                                            | yes               | yes               | -       |
| 184| non_recursive| [isPrefixText]                                                    | yes               | yes               | -       |
| 185| non_recursive| [filter]                                                          | yes               | yes               | -       |
| 186| recursive    | [case_40,case_41,filters]                                         | yes               | yes               | -       |
| 187| non_recursive| [TesterImpl.compareDirWithPattern]                                | yes               | yes               | -       |
| 188| non_recursive| [cont_6]                                                          | yes               | yes               | -       |
| 189| non_recursive| [cont_7]                                                          | yes               | yes               | -       |
| 190| non_recursive| [if_7]                                                            | yes               | yes               | -       |
| 191| non_recursive| [if_6]                                                            | yes               | yes               | -       |
| 192| non_recursive| [if_5]                                                            | yes               | yes               | -       |
| 193| non_recursive| [if_4]                                                            | yes               | yes               | -       |
| 194| non_recursive| [neq]                                                             | yes               | yes               | -       |
| 195| non_recursive| [if_3]                                                            | yes               | yes               | -       |
| 196| non_recursive| [isRight]                                                         | yes               | yes               | -       |
| 197| non_recursive| [TesterImpl.checkData]                                            | yes               | yes               | -       |
| 198| recursive    | [entrywhile_2,while_2]                                            | yes               | yes               | -       |
| 199| non_recursive| [case_94]                                                         | yes               | yes               | -       |
| 200| non_recursive| [items]                                                           | yes               | yes               | -       |
| 201| recursive    | [case_11,nth]                                                     | yes               | yes               | -       |
| 202| recursive    | [cont_2,entrywhile_1,if_2,while_1]                                | no                | no                | -       |
| 203| non_recursive| [TesterImpl.checkDatas]                                           | yes               | yes               | -       |
| 204| non_recursive| [TesterImpl.analyse]                                              | yes               | yes               | -       |
| 205| recursive    | [entrywhile_5,while_5]                                            | yes               | yes               | -       |
| 206| non_recursive| [if_11]                                                           | yes               | yes               | -       |
| 207| recursive    | [case_8,remove]                                                   | yes               | yes               | -       |
| 208| non_recursive| [Network.shutDown]                                                | yes               | yes               | -       |
| 209| non_recursive| [SyncClientImpl.requestShutDown]                                  | yes               | yes               | -       |
| 210| non_recursive| [cont_30]                                                         | yes               | yes               | -       |
| 211| non_recursive| [if_30]                                                           | yes               | yes               | -       |
| 212| non_recursive| [ClientJobImpl.shutDownClient]                                    | yes               | yes               | -       |
| 213| non_recursive| [cont_23]                                                         | yes               | yes               | -       |
| 214| non_recursive| [SyncClientImpl.waitFor]                                          | yes               | yes               | -       |
| 215| non_recursive| [SyncClientImpl.getAcceptor]                                      | yes               | yes               | -       |
| 216| non_recursive| [SyncServerImpl.isShutdownRequested]                              | yes               | yes               | -       |
| 217| non_recursive| [ConnectionThreadImpl.init]                                       | yes               | yes               | -       |
| 218| non_recursive| [SyncServerImpl.getSchedule]                                      | yes               | yes               | -       |
| 219| non_recursive| [ClientJobImpl.receiveSchedule]                                   | yes               | yes               | -       |
| 220| non_recursive| [cont_46]                                                         | yes               | yes               | -       |
| 221| non_recursive| [case_90]                                                         | yes               | yes               | -       |
| 222| non_recursive| [ssname]                                                          | yes               | yes               | -       |
| 223| non_recursive| [if_46]                                                           | yes               | yes               | -       |
| 224| non_recursive| [ConnectionThreadImpl.sendSchedule]                               | yes               | yes               | -       |
| 225| non_recursive| [SyncServerImpl.getCoordinator]                                   | yes               | yes               | -       |
| 226| non_recursive| [cont_15]                                                         | yes               | yes               | -       |
| 227| non_recursive| [if_15]                                                           | yes               | yes               | -       |
| 228| recursive    | [case_3,set]                                                      | yes               | yes               | -       |
| 229| non_recursive| [DataBaseImpl.prepareReplicationItem]                             | yes               | yes               | -       |
| 230| non_recursive| [SyncClientImpl.setMaximumTransactionId]                          | yes               | yes               | -       |
| 231| non_recursive| [cont_31]                                                         | yes               | yes               | -       |
| 232| non_recursive| [if_31]                                                           | yes               | yes               | -       |
| 233| non_recursive| [ClientJobImpl.registerReplicationItems]                          | yes               | yes               | -       |
| 234| non_recursive| [Resource.consume]                                                | yes               | yes               | -       |
| 235| recursive    | [entrywhile_16,while_16]                                          | yes               | yes               | -       |
| 236| non_recursive| [ConnectionThreadImpl.consumeResource]                            | yes               | yes               | -       |
| 237| non_recursive| [DataBaseImpl.refresh]                                            | yes               | yes               | -       |
| 238| non_recursive| [ReplicationSnapshotImpl.replicationItemORIGIN_ReplicationItemDelta]| yes               | yes               | -       |
| 239| non_recursive| [SearchDirectoryItem.init]                                        | yes               | yes               | -       |
| 240| non_recursive| [cont_18]                                                         | yes               | yes               | -       |
| 241| non_recursive| [if_18]                                                           | yes               | yes               | -       |
| 242| non_recursive| [case_48]                                                         | yes               | yes               | -       |
| 243| non_recursive| [isSearchItem]                                                    | yes               | yes               | -       |
| 244| non_recursive| [ReplicationSnapshotImpl.replicationItemORIGIN_DirDelta]          | yes               | yes               | -       |
| 245| non_recursive| [ReplicationFilePattern.init]                                     | yes               | yes               | -       |
| 246| non_recursive| [cont_19]                                                         | yes               | yes               | -       |
| 247| non_recursive| [if_19]                                                           | yes               | yes               | -       |
| 248| non_recursive| [case_49]                                                         | yes               | yes               | -       |
| 249| non_recursive| [isFileItem]                                                      | yes               | yes               | -       |
| 250| non_recursive| [ReplicationSnapshotImpl.replicationItemORIGIN_FileDelta]         | yes               | yes               | -       |
| 251| non_recursive| [ReplicationLogItem.init]                                         | yes               | yes               | -       |
| 252| non_recursive| [cont_17]                                                         | yes               | yes               | -       |
| 253| non_recursive| [if_17]                                                           | yes               | yes               | -       |
| 254| non_recursive| [case_50]                                                         | yes               | yes               | -       |
| 255| non_recursive| [isLogItem]                                                       | yes               | yes               | -       |
| 256| non_recursive| [ReplicationSnapshotImpl.replicationItem]                         | yes               | yes               | -       |
| 257| recursive    | [entrywhile_14,while_14]                                          | yes               | yes               | -       |
| 258| non_recursive| [ReplicationSnapshotImpl.replicationItems]                        | yes               | yes               | -       |
| 259| recursive    | [entrywhile_13,while_13]                                          | no                | yes               | -       |
| 260| non_recursive| [ReplicationSnapshotImpl.createReplicationItems]                  | yes               | yes               | -       |
| 261| non_recursive| [cont_16]                                                         | yes               | yes               | -       |
| 262| non_recursive| [DataBaseImpl.listFilesAt]                                        | yes               | yes               | -       |
| 263| non_recursive| [cont_53]                                                         | yes               | yes               | -       |
| 264| recursive    | [case_43,entrySet]                                                | yes               | yes               | -       |
| 265| non_recursive| [isAncester]                                                      | yes               | yes               | -       |
| 266| recursive    | [cont_54,entrywhile_21,if_54,while_21]                            | yes               | yes               | -       |
| 267| non_recursive| [if_53]                                                           | yes               | yes               | -       |
| 268| non_recursive| [ReplicationFilePattern.refresh]                                  | yes               | yes               | -       |
| 269| non_recursive| [cont_55]                                                         | yes               | yes               | -       |
| 270| non_recursive| [if_55]                                                           | yes               | yes               | -       |
| 271| non_recursive| [ReplicationLogItem.refresh]                                      | yes               | yes               | -       |
| 272| non_recursive| [cont_20]                                                         | yes               | yes               | -       |
| 273| non_recursive| [if_20]                                                           | yes               | yes               | -       |
| 274| non_recursive| [SearchDirectoryItem.refresh]                                     | yes               | yes               | -       |
| 275| non_recursive| [virtual_0]                                                       | yes               | yes               | -       |
