Termination time of Current method: 5200 ms
Termination time of new approach: 239740 ms
+-----------------------------------------------------------------------------------------------------------------------------------------+ 
| #  | Type         | Nodes                                                             | Terminating OLD   | Termination NEW   | Time    |
| 156| non_recursive| [CashierImpl.init]                                                | yes               | yes               | -       |
| 157| non_recursive| [LightDisplayEnvImpl.init]                                        | yes               | yes               | -       |
| 158| non_recursive| [PrinterEnvImpl.init]                                             | yes               | yes               | -       |
| 159| non_recursive| [InternalLoggerImpl.init]                                         | yes               | yes               | -       |
| 160| non_recursive| [ScreenImpl.init]                                                 | yes               | yes               | -       |
| 161| non_recursive| [CashDeskEnvironmentInstallation.init]                            | yes               | yes               | -       |
| 162| non_recursive| [CashDeskInstallationImpl.getBarCodeScanner]                      | yes               | yes               | -       |
| 163| non_recursive| [CashDeskInstallationImpl.getCardReader]                          | yes               | yes               | -       |
| 164| non_recursive| [CashDeskInstallationImpl.getCashBox]                             | yes               | yes               | -       |
| 165| non_recursive| [CashDeskEnvironmentInstallation.init2]                           | yes               | yes               | -       |
| 166| non_recursive| [CashDeskInstallationImpl.init]                                   | yes               | yes               | -       |
| 167| non_recursive| [CashDeskPCImpl.init]                                             | yes               | yes               | -       |
| 168| non_recursive| [CashDeskPCImpl.setDependencies]                                  | yes               | yes               | -       |
| 169| non_recursive| [LightDisplayImpl.init]                                           | yes               | yes               | -       |
| 170| non_recursive| [LightDisplayImpl.setDependencies]                                | yes               | yes               | -       |
| 171| non_recursive| [PrinterImpl.init]                                                | yes               | yes               | -       |
| 172| non_recursive| [PrinterImpl.setDependencies]                                     | yes               | yes               | -       |
| 173| non_recursive| [CashDeskInstallationImpl.init2]                                  | yes               | yes               | -       |
| 174| non_recursive| [CashDeskLineEnvironmentInstallation.getCashiers]                 | yes               | yes               | -       |
| 175| non_recursive| [CashDeskLineEnvironmentInstallation.init]                        | yes               | yes               | -       |
| 176| non_recursive| [CashDeskLineInstallationImpl.getCashDeskInstallations]           | yes               | yes               | -       |
| 177| non_recursive| [CashDeskLineInstallationImpl.init]                               | yes               | yes               | -       |
| 178| non_recursive| [ExpressCoordinatorImpl.init]                                     | yes               | yes               | -       |
| 179| recursive    | [entrywhile_2,while_2]                                            | yes               | yes               | -       |
